name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
USHA Armor AR1100WB 1100 W Dry Iron with Black Weilburger Soleplate (Purple),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71q7meZ82qL._AC_UL320_.jpg,https://www.amazon.in/Armour-AR1100WB-1100-Watt-Soleplate-Purple/dp/B0883KDSXC/ref=sr_1_14?qid=1679135585&s=appliances&sr=1-14,3.9,"17,030",₹549,₹990
Philips Viva Collection HD4928/01 2100-Watt Induction Cooktop with Feather Touch Sensor and Crystal Glass Plate (Black),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61x0Qnm08HS._AC_UL320_.jpg,https://www.amazon.in/Philips-Collection-HD4928-01-2100-Watt/dp/B00EDJJ7FS/ref=sr_1_15?qid=1679135585&s=appliances&sr=1-15,4.2,"40,782","₹3,099","₹5,995"
"PrettyKrafts Laundry Basket for clothes with Lid & Handles, Toys Organiser, 75 Ltr Black & Grey",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71LX24shyGL._AC_UL320_.jpg,https://www.amazon.in/PrettyKrafts-Laundry-Basket-Clothes-Handles/dp/B0814P4L98/ref=sr_1_16?qid=1679135585&s=appliances&sr=1-16,3.9,"5,754",₹289,"₹1,099"
Butterfly EKN 1.5-Litre Electric Kettle (Silver with Black),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71cFxsy+BCL._AC_UL320_.jpg,https://www.amazon.in/Butterfly-EKN-1-5-Litre-Kettle-Silver/dp/B078V8R9BS/ref=sr_1_17?qid=1679135585&s=appliances&sr=1-17,4.2,"36,295",₹649,"₹1,299"
Pigeon by Stovekraft Cruise 1800 watt Induction Cooktop (Black),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61DAkNxj9uL._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Stovekraft-Cruise-1800-Watt-Induction/dp/B01GFTEV5Y/ref=sr_1_18?qid=1679135585&s=appliances&sr=1-18,3.8,"55,819","₹1,689","₹3,193"
"Pigeon Healthifry Digital Air Fryer, 360° High Speed Air Circulation Technology 1200 W with Non-Stick 4.2 L Basket - Green",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61mfMId4dkL._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Healthifry-Circulation-Technology-Non-Stick/dp/B0B8XNPQPN/ref=sr_1_19?qid=1679135585&s=appliances&sr=1-19,3.9,692,"₹3,529","₹7,995"
"Bajaj Majesty DX-11 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White and Blue",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/810Yr09Ji9L._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Majesty-1000-Watt-Iron-White/dp/B01C8P29T4/ref=sr_1_20?qid=1679135585&s=appliances&sr=1-20,4.2,"25,165",₹599,₹785
"BAJAJ PYGMY MINI 110 MM 10 W HIGH SPEED OPERATION, USB CHARGING, MULTI-CLIP FUNCTION PERSONAL FAN",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/816lZp-8R2L._AC_UL320_.jpg,https://www.amazon.in/OPERATION-CHARGING-MULTI-CLIP-FUNCTION-PERSONAL/dp/B08VJFYH6N/ref=sr_1_21?qid=1679135585&s=appliances&sr=1-21,4.1,"4,648",₹986,"₹1,620"
"Pigeon Kessel Multipurpose Kettle (12173) 1.2 litres with Stainless Steel Body, used for boiling Water and milk, Tea, Coff...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51Y21By5TzL._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Kessel-1-2-Litre-Multi-purpose-Kettle/dp/B01I1LDZGA/ref=sr_1_22?qid=1679135585&s=appliances&sr=1-22,3.9,"15,338",₹899,"₹1,458"
"AGARO Regal 800 Watts Handheld Vacuum Cleaner, Lightweight & Durable Body, Small/Mini Size ( Black)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71WKo+bybtL._AC_UL320_.jpg,https://www.amazon.in/AGARO-800-Watt-Handheld-Cleaner-Durable/dp/B07SRM58TP/ref=sr_1_23?qid=1679135585&s=appliances&sr=1-23,4.0,"15,266","₹1,599","₹2,099"
Prestige PIC 20 1600 Watt Induction Cooktop with Push button (Black),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81od9GbumhL._AC_UL320_.jpg,https://www.amazon.in/Prestige-PIC-20-Induction-Cooktop/dp/B00YMJ0OI8/ref=sr_1_24?qid=1679135585&s=appliances&sr=1-24,4.1,"32,240","₹2,095","₹3,645"
atomberg Renesa 1200mm BLDC Motor 5 Star Rated Ceiling Fans for Home with Remote Control | Upto 65% Energy Saving High Spe...,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61mhVkkWM-L._AC_UL320_.jpg,https://www.amazon.in/Atomberg-Renesa-Motor-Remote-Ceiling/dp/B08Y5QJXSR/ref=sr_1_25?qid=1679135586&s=appliances&sr=1-25,4.3,"29,831","₹3,680","₹5,190"
"Pigeon By Stovekraft 14429 Acer Plus 1800 Watt Induction Cooktop with Feather Touch Control, Induction Stove comes with 8 ...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51A-E96wy-L._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Stovekraft-Acer-Plus-Induction/dp/B0832W3B7Q/ref=sr_1_26?qid=1679135586&s=appliances&sr=1-26,3.8,"10,587","₹1,799","₹3,595"
PRO365 Indo Portable Mocktails/Coffee Foamer/Cappuccino/Lemonade/Milk Frother (6 Months Warranty),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61PPPT-xfjL._AC_UL320_.jpg,https://www.amazon.in/PRO365-Electric-Coffee-Stirrer-Frother/dp/B07GXPDLYQ/ref=sr_1_27?qid=1679135586&s=appliances&sr=1-27,3.2,"9,271",₹199,₹499
"Lloyd 1.5 Ton 3 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White, Gls18I3...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31UISB90sYL._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS18I3FWAMC/dp/B0BRKXTSBT/ref=sr_1_28?qid=1679135586&s=appliances&sr=1-28,4.2,"2,255","₹32,999","₹58,990"
"Farberware Portable Electric USB Juice Maker Juicer Bottle Blender Grinder Mixer,6 Blades Rechargeable Bottle with (Plasti...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Sb8eK9bGL._AC_UL320_.jpg,https://www.amazon.in/Farberware-Portable-Electric-Blender-Rechargeable/dp/B0BS17BXZM/ref=sr_1_29_mod_primary_new?qid=1679135586&s=appliances&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-29,2.6,164,₹489,"₹1,199"
"V-Guard VG 400 for 1.5 Ton A.C (170V to 270V) Original 3 Year onsite wrranty,White",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31xRPjdBD3L._AC_UL320_.jpg,https://www.amazon.in/V-Guard-170V-Original-onsite-wrranty/dp/B089YC1QMD/ref=sr_1_30?qid=1679135586&s=appliances&sr=1-30,4.1,"4,125","₹1,713","₹2,750"
"SOFLIN Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking, Boiling and Frying (400 Watts, Blue)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31zTQCdL35S._AC_UL320_.jpg,https://www.amazon.in/SOFLIN-Electric-Automatic-Poacher-Steaming/dp/B07GMFY9QM/ref=sr_1_31?qid=1679135586&s=appliances&sr=1-31,4.3,"3,840",₹379,₹999
"Tosaa 18 Pcs - 3 Different Size Plastic Food Snack Bag Pouch Clip Sealer Large,Medium,Small Plastic Snack Seal Sealing Bag...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41IrWG1SPFL._AC_UL320_.jpg,https://www.amazon.in/Tosaa-18-Pcs-Different-Multicolor/dp/B0BS68MMNN/ref=sr_1_32?qid=1679135586&s=appliances&sr=1-32,3.9,82,₹59,₹99
Bosch Pro 1000W Mixer Grinder MGM8842MIN - Black,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Wq0mQNTLL._AC_UL320_.jpg,https://www.amazon.in/Bosch-TrueMixx-Pro-Grinder-Watt-MGM8842MIN/dp/B07MKMFKPG/ref=sr_1_33?qid=1679135586&s=appliances&sr=1-33,4.4,"11,960","₹6,499","₹10,590"
"Bajaj PMH 25 DLX 24L Personal Air Cooler for home with DuraMarine Pump (2-Yr Warranty), Turbo Fan Technology, Powerful Air...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61o4Iv+vdBL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-DLX-Honeycomb-Technology-PMH25/dp/B09R3JQ3P9/ref=sr_1_34?qid=1679135586&s=appliances&sr=1-34,3.6,"2,943","₹4,718","₹7,360"
"Philips GC181 Heavy Weight 1000-Watt Dry Iron, Pack of 1",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51qNhKjuFPL._AC_UL320_.jpg,https://www.amazon.in/Philips-GC181-Heavy-Weight-1000-Watt/dp/B01EY310UM/ref=sr_1_35?qid=1679135586&s=appliances&sr=1-35,4.3,"15,997","₹1,349","₹1,545"
Kuber Industries Waterproof Round Non Wovan Laundry Bag/Hamper|Metalic Printed With Handles|Foldable Bin & 45 Liter Capici...,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/816iczzNG5L._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Foldable-Laundry-KUBMART11450/dp/B08VGFX2B6/ref=sr_1_36?qid=1679135586&s=appliances&sr=1-36,4.0,"3,740",₹161.50,₹199
"Smart Shelter Heavy Duty Metal Adjustable Washing Machine Stand/Trolley with Wheels, Front & Top Load, Fridge, Dishwasher ...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51IkQI2r9KL._AC_UL320_.jpg,https://www.amazon.in/Smart-Shelter-Premium-Refrigerator-Dishwasher/dp/B07LFLR8NN/ref=sr_1_37?qid=1679135586&s=appliances&sr=1-37,4.2,"9,647","₹1,399","₹2,999"
Orpat HHB-100E WOB 250-Watt Hand Blender (White),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/21OWOIM1wML._AC_UL320_.jpg,https://www.amazon.in/Orpat-HHB-100E-WOB-250-Watt-Blender/dp/B00A7PLVU6/ref=sr_1_38?qid=1679135586&s=appliances&sr=1-38,4.2,"18,866",₹729,₹899
Orient Electric Fabrijoy 1000-Watt Dry Iron with American Heritage Non-Stick Sole Plate | Safety-Packed Electric Iron Pres...,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61gd5ZJZaVL._AC_UL320_.jpg,https://www.amazon.in/Orient-Electric-Fabrijoy-DIFJ10BP-1000-Watt/dp/B01MY839VW/ref=sr_1_39?qid=1679135586&s=appliances&sr=1-39,4.2,"14,006",₹549,"₹1,090"
Prestige PKGSS 1.7L 1500W Electric Kettle (Stainless Steel),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71hrYgAgdGL._AC_UL320_.jpg,https://www.amazon.in/Prestige-PKGSS-Electric-Kettle-Stainless/dp/B00NW4UWN6/ref=sr_1_40?qid=1679135586&s=appliances&sr=1-40,3.8,"16,348",₹799,"₹1,545"
Aptechdeals TDS Meter/Digital Tds Meter with Temperature And Water Quality Measurement For Ro Purifier (TDS),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/412heudHruL._AC_UL320_.jpg,https://www.amazon.in/Aptechdeals-Digital-Temperature-Measurement-Purifier/dp/B07Y66GYJF/ref=sr_1_41?qid=1679135586&s=appliances&sr=1-41,4.1,"6,433",₹179,₹305
"Wonderchef Nutri-blend Mixer, Grinder & Blender | Powerful 400W 22000 RPM motor | Stainless steel Blades | 2 unbreakable j...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61BGNSBBwYL._AC_UL320_.jpg,https://www.amazon.in/Wonderchef-Nutri-Blend-Watts-Juicer-Grinder/dp/B00W56GLOQ/ref=sr_1_42?qid=1679135586&s=appliances&sr=1-42,3.9,"26,915","₹2,699","₹5,000"
"HealthSense Chef-Mate KS 33 Digital Kitchen Weighing Scale & Food Weight Machine for Health, Fitness, Home Baking & Cookin...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51OYFH+NrFS._AC_UL320_.jpg,https://www.amazon.in/Health-Sense-Chef-Mate-Digital-Scale-KS33/dp/B013B2WGT6/ref=sr_1_43?qid=1679135586&s=appliances&sr=1-43,4.3,"15,608","₹1,099","₹1,899"
USHA EI 1602 1000 W Lightweight Dry Iron with Non-Stick Soleplate (Multi-colour),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61S+GSuRHkL._AC_UL320_.jpg,https://www.amazon.in/Usha-EI-1602-1000-Watt-Lightweight/dp/B008YW3CYM/ref=sr_1_44?qid=1679135586&s=appliances&sr=1-44,4.1,"37,716",₹649,"₹1,290"
Prestige IRIS Plus 750 watt mixer grinder,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51HfqyUaHyL._AC_UL320_.jpg,https://www.amazon.in/Prestige-IRIS-mixer-grinder-Black/dp/B08CFJBZRK/ref=sr_1_45?qid=1679135586&s=appliances&sr=1-45,3.8,"14,663","₹3,249","₹6,295"
"Pigeon 1.5 litre Hot Kettle and Stainless Steel Water Bottle Combo used for boiling Water, Making Tea and Coffee, Instant ...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51VvdjBgB5L._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Stainless-boiling-Instant-Noodles/dp/B09Y5FZK9N/ref=sr_1_46?qid=1679135586&s=appliances&sr=1-46,3.6,"1,669",₹799,"₹1,545"
"Samsung 7 kg Fully-Automatic Top Loading Washing Machine (WA70A4002GS/TL, Imperial Silver, Diamond drum)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/510mV2GAtkL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Fully-Automatic-WA70A4002GS-TL-Imperial/dp/B08GXYZFNB/ref=sr_1_47?qid=1679135586&s=appliances&sr=1-47,4.4,"24,086","₹15,790","₹21,000"
HUL Pureit Germkill kit for Classic 14 L water purifier - 1250 L Capacity,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61MZ5sEJ+HL._AC_UL320_.jpg,https://www.amazon.in/HUL-Pureit-Germkill-Classic-Purifier/dp/B00H3GWW32/ref=sr_1_48?qid=1679135586&s=appliances&sr=1-48,4.2,"15,454",,₹580
"StyleHouse Lint Remover for Woolen Clothes, Electric Lint Remover, Best Lint Shaver for Clothes",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71SaXp5qZvL._AC_UL320_.jpg,https://www.amazon.in/StyleHouse-Remover-Woolen-Clothes-Electric/dp/B07NCKMXVZ/ref=sr_1_49?qid=1679135588&s=appliances&sr=1-49,4.1,"4,986",₹405,₹999
"Prestige 1.5 Litre Kettle 1500-watts, Red",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/511wIb+y8BL._AC_UL320_.jpg,https://www.amazon.in/Prestige-1-5-Kettle-1500-watts-Red/dp/B07VNFP3C2/ref=sr_1_50?qid=1679135588&s=appliances&sr=1-50,3.9,"33,077",₹679,"₹1,245"
CROMPTON SUREBREEZE SEA Sapphira 1200 mm (48 inch) Ceiling Fan (Lustre Brown) 1 Star,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41APqPHuqtL._AC_UL320_.jpg,https://www.amazon.in/CROMPTON-SUREBREEZE-Sapphira-Ceiling-Lustre/dp/B0BTS9GG2V/ref=sr_1_51?qid=1679135588&s=appliances&sr=1-51,3.9,"2,507","₹1,499","₹2,599"
"Butterfly Jet Elite Mixer Grinder, 750W, 4 Jars (Grey)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81aALsqzUlL._AC_UL320_.jpg,https://www.amazon.in/Butterfly-Jet-Elite-750-Watt-Grinder/dp/B07DGD4Z4C/ref=sr_1_52?qid=1679135588&s=appliances&sr=1-52,3.9,"26,081","₹2,999","₹5,795"
"E-Cosmos Refrigerator Stand, Washing Machine Stand, Furniture Base Stand, Fridge Stands for Single Door and Double Door (P...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61REJkkYbwL._AC_UL320_.jpg,https://www.amazon.in/COSMOS-Refrigerator-Washing-Machine-Furniture/dp/B09CDVQFQ7/ref=sr_1_53?qid=1679135588&s=appliances&sr=1-53,4.1,"8,939",,₹149
"Prestige Sandwich Maker PGMFD 01, Black",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51P5A28trLL._AC_UL320_.jpg,https://www.amazon.in/Prestige-Sandwich-Maker-PGMFD-01/dp/B07S851WX5/ref=sr_1_54?qid=1679135588&s=appliances&sr=1-54,4.2,"41,493",,"₹1,299"
"VR 18 Pcs - 3 Different Size Plastic Food Snack Bag Pouch Clip Sealer Large, Medium, Small Plastic Snack Seal Sealing Bag ...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71dP2SV0GLL._AC_UL320_.jpg,https://www.amazon.in/VR-Pcs-Different-Multi-Color-Multicolor/dp/B08F47T4X5/ref=sr_1_55?qid=1679135588&s=appliances&sr=1-55,4.2,"20,011",₹129,₹139
"Venus Electronic Digital Kitchen Weighing Scale, Food Weight Machine for Home, Baking, Health 10 kg Battries Included",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71TCEJIMwUL._AC_UL320_.jpg,https://www.amazon.in/Venus-Electronic-Weighing-Battries-Included/dp/B09ZPJZDFL/ref=sr_1_56?qid=1679135588&s=appliances&sr=1-56,3.8,667,₹299,"₹1,599"
"Philips HR3705/10 300 Watt Lightweight Hand Mixer, Blender with 5 speed control settings, stainless steel accessories and ...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41tDUmnDITL._AC_UL320_.jpg,https://www.amazon.in/Philips-Daily-Collection-HR3705-300-Watt/dp/B07GDR7VZ3/ref=sr_1_57?qid=1679135588&s=appliances&sr=1-57,4.5,"19,482","₹2,049","₹2,595"
Finalize Tap Water Purifier Filter Faucet 6 Layer Carbon Activated Dust Chlorine Remover Water Softener for Drinking Cartr...,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41DyZIeEX7L._AC_UL320_.jpg,https://www.amazon.in/Finalize-Purifier-Activated-Cartridge-Multicolor/dp/B0BPXXK9CJ/ref=sr_1_58?qid=1679135588&s=appliances&sr=1-58,4.1,77,₹209,₹999
"Bajaj PYGMY MINI 110 MM PERSONAL FAN - WHITE SMOKE, small",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Dm+JU52xL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-PYGMY-MINI-110-PERSONAL/dp/B08VRGH6NM/ref=sr_1_59?qid=1679135588&s=appliances&sr=1-59,4.2,"2,208",₹898,"₹1,785"
"PHILIPS Digital Air Fryer HD9252/90 with Touch Panel, uses up to 90% less fat, 7 Pre-set Menu, 1400W, 4.1 Liter, with Rapi...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51PwsOOMErL._AC_UL320_.jpg,https://www.amazon.in/PHILIPS-Digital-HD9252-90-Technology/dp/B097RJ867P/ref=sr_1_60?qid=1679135588&s=appliances&sr=1-60,4.5,"3,239","₹9,399","₹12,595"
KENT 16020 Instant Egg Boiler | 3 Boiling Modes | Upto 7 Egg at a Time | Automatic Operation | Easy and Quick Operation | ...,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71YhvOR+1cL._AC_UL320_.jpg,https://www.amazon.in/Kent-Instant-Boiler-360-Watt-Transparent/dp/B0791GQRPF/ref=sr_1_61?qid=1679135588&s=appliances&sr=1-61,4.3,"25,723",₹999,"₹1,800"
Borosil Chef Delite BCH20DBB21 300-Watt Chopper (Black),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51M2WpKwb-L._AC_UL320_.jpg,https://www.amazon.in/Borosil-Plastic-Chefdelite-BCH20DBB21-Technology/dp/B01M5B0TPW/ref=sr_1_62?qid=1679135588&s=appliances&sr=1-62,4.4,"8,306","₹1,829","₹2,490"
Philips Classic GC097/50 750-Watt Dry Iron (Peach),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61HbXGEnwSL._AC_UL320_.jpg,https://www.amazon.in/Philips-Classic-GC097-50-750-Watt/dp/B07H7JB1RZ/ref=sr_1_63?qid=1679135588&s=appliances&sr=1-63,4.2,"12,028",₹735,₹895
